ASIN,商品名称,评论数,star数,品牌词,最近2月每月搜索量,CPC最小值,CPC最大值,单价,佣金率
B0D4DVQDR4,RENPHO Foot Massager,30362,4.3,RENPHO,-,-,-,$139.98,8%
B0CQ2QHHG9,RENPHO Leg Massager,7235,4.0,RENPHO,-,-,-,$109.99,8%
B07ZJND4FS,Custom Coat Urethane Spray,1954,4.6,Custom Coat,-,-,-,$119.99,14%
B01N2LP1I0,DELIE Compression Girdle,1625,4.2,DELIE,-,-,-,$113.00,14%
B085QKQ3HD,GROWNSY UV Sanitizer,1435,4.5,GROWNSY,-,-,-,$129.99,7%
B0CTXXZSML,RENPHO Foot Massager,1429,4.5,RENPHO,-,-,-,$259.99,7%
B0CGPS5KGC,RENPHO Massage Gun,3971,4.7,RENPHO,-,-,-,$109.99,8%
B0CLNT8Y2G,ALLWEI Power Station,1730,4.5,ALLWEI,-,-,-,$589.00,4%
B0DCTS4KLS,Dog Grass Artificial Turf,2489,4.0,Dog Grass,-,-,-,$109.99,18%
B099GP11JW,Emraw Notebook,1295,4.6,Emraw,-,-,-,$106.00,18%
B07DCF24YJ,KUMA Damascus Knife,439,4.7,KUMA,-,-,-,$144.97,23%
B07MCM8NQY,Valera Green Screen,710,4.3,Valera,-,-,-,$139.00,21%
B079THJH1W,Open Goaaal Soccer Rebounder,559,4.3,Open Goaaal,-,-,-,$264.00,18%
B086DCVHQD,Open Goaaal Soccer Goal,551,4.3,Open Goaaal,-,-,-,$314.00,18%
B0CVQVC17N,FORM 36V Golf Charger,1825,4.6,FORM,-,-,-,$259.95,18%
B0CQYM4ML1,ALLWEI Power Station 2400W,1729,4.5,ALLWEI,-,-,-,"$1,299",18%
B0B76QSBSY,Lumos Smart Bike Helmet,1202,4.6,Lumos,1000,-,-,$139.95,7%
B09GNX8GGT,Xtreme Mats Golf Cart Mat,823,4.8,Xtreme Mats,-,-,-,$117.00,18%
B07WX6MCGD,mifo True Wireless Earbuds,722,4.0,mifo,-,-,-,$139.00,18%
B0CN6962N1,Heavy Duty Fire Pit Tools,613,4.8,Heavy Duty,-,-,-,$109.99,18%
B09T8PLXZZ,Xtreme Mats Golf Cart Mat,822,4.8,Xtreme Mats,-,-,-,$117.00,18%
B07PW96DP4,Custom Shop Epoxy Primer,491,4.0,Custom Shop,-,-,-,$259.99,14%
B086QJVHVD,ULTRALOQ Smart Lock,128,4.4,ULTRALOQ,1250,-,-,$158.99,10%
B01N45MSAV,DELIE Faja Colombiana,202,4.1,DELIE,-,-,-,$101.00,14%
B0C42GHHCJ,Aiwa Portable Boombox,396,4.1,Aiwa,-,-,-,$147.98,4%
B0CVQVGZX5,FORM 48V Golf Charger,836,4.5,FORM,-,-,-,$299.95,18%
B0DBHKHPDX,DC HOUSE Golf Cart Battery,181,4.5,DC HOUSE,-,-,-,$829.99,7%
B0D9C1PTFT,FORM 48V Golf Charger,171,4.5,FORM,-,-,-,$249.95,18%
B0BQFWJ9JJ,ALLWEI Solar Generator 2400W,138,4.4,ALLWEI,-,-,-,"$1,648",18%
B0CZ3T561W,ALLWEI Solar Generator 1200W,138,4.4,ALLWEI,-,-,-,"$1,159",18%
B0BQFXVGNZ,ALLWEI Solar Generator 2400W,138,4.4,ALLWEI,-,-,-,"$2,488",18%
B0CRLCHMDF,Open Goaaal Soccer Goal Net,557,4.3,Open Goaaal,-,-,-,$499.99,18%
B085QNDTMC,Open Goaaal Soccer Goal Net,559,4.3,Open Goaaal,-,-,-,$329.99,18%
B0CRLYVD9J,Lumos Fly Pro Helmet,344,4.5,Lumos,-,-,-,$149.00,7%
B08LLFRJ1R,GAMMA+ Cordless Dremel,319,4.1,GAMMA+,-,-,-,$129.95,18%
B0DBLBW268,Yaber K3 Projector,270,4.3,Yaber,-,-,-,$469.00,10%
B091BHSY2Q,Xtreme Mats Golf Mat,823,4.8,Xtreme Mats,-,-,-,$117.00,18%
B0B31HR98C,ZAFRO Dehumidifier,250,4.2,ZAFRO,-,-,-,$194.99,18%
B0CXBRXD4G,PIURIFY Hydrogen Bottle,124,4.5,PIURIFY,-,-,-,$139.99,18%
B08FJJB42G,Xtreme Mats Golf Mat,823,4.8,Xtreme Mats,-,-,-,$117.00,18%
B07H23Z7XT,Berkling Tools Grinder,148,4.3,Berkling,-,-,-,$114.73,18%
B097C6HN17,GAMMA+ Trimmer,154,4.0,GAMMA+,-,-,-,$109.95,18%
B07F1SCZ39,Smart Hydroponics System,358,4.0,Smart Hydro,-,-,-,$109.99,18%
B09TJZSFJ9,WYRESTORM 4K Webcam,106,4.1,WYRESTORM,-,-,-,$149.99,14%
B089JGWDHK,Custom Shop Rubberize,104,4.4,Custom Shop,-,-,-,$114.99,14%
B07KPNK69R,Open Goaaal Soccer Rebounder,558,4.3,Open Goaaal,-,-,-,$224.00,18%
B0CWSCD9C9,FORM 48V Golf Charger,262,4.6,FORM,-,-,-,$249.95,18%
B0CVQVLC8L,FORM 48V Golf Charger,516,4.4,FORM,-,-,-,$299.95,18%
B094YKL3GG,Custom Shop Primer,192,4.6,Custom Shop,-,-,-,$119.99,14%
B0BH9B8NMF,Custom Coat Spray,483,4.6,Custom Coat,-,-,-,$109.99,14%
B085RHRC26,Open Goaaal Soccer Goal,559,4.3,Open Goaaal,-,-,-,$239.99,18%
B085QNYKK5,Open Goaaal Soccer Goal,559,4.3,Open Goaaal,-,-,-,$279.99,18%
B079THZYKF,Open Goaaal Soccer Goal,559,4.3,Open Goaaal,-,-,-,$314.00,18%
B0B76QSBSY,Lumos Fly Pro Helmet,344,4.5,Lumos,-,-,-,$149.00,7%
B08FJHPJ23,Xtreme Mats Golf Mat,823,4.8,Xtreme Mats,-,-,-,$117.00,18%
B08FJGS2W7,Xtreme Mats Golf Mat,822,4.8,Xtreme Mats,-,-,-,$117.00,18%
B0CWSCD9C9,FORM 48V Golf Charger,262,4.6,FORM,-,-,-,$249.95,18%
B0CVQVLC8L,FORM 48V Golf Charger,516,4.4,FORM,-,-,-,$299.95,18%
B094YKL3GG,Custom Shop Primer,192,4.6,Custom Shop,-,-,-,$119.99,14%
B0BH9B8NMF,Custom Coat Spray,483,4.6,Custom Coat,-,-,-,$109.99,14%
B085RHRC26,Open Goaaal Soccer Goal,559,4.3,Open Goaaal,-,-,-,$239.99,18%
B085QNYKK5,Open Goaaal Soccer Goal,559,4.3,Open Goaaal,-,-,-,$279.99,18%
B079THZYKF,Open Goaaal Soccer Goal,559,4.3,Open Goaaal,-,-,-,$314.00,18%
B0B76QSBSY,Lumos Fly Pro Helmet,344,4.5,Lumos,-,-,-,$149.00,7%
B08FJHPJ23,Xtreme Mats Full Coverage,823,4.8,Xtreme Mats,-,-,-,$117.00,18%
B08FJGS2W7,Xtreme Mats Full Coverage,822,4.8,Xtreme Mats,-,-,-,$117.00,18%
B0G2LT49CN,Autel KM100 Laser Measure,328,4.5,Autel,1900,25.0,85.0,$129.99,8%
