ASIN,产品名称,评论数,star,品牌词,关键词1(品牌+产品),关键词2(品牌+型号),搜索量/月,CPC最小(RMB),CPC最大(RMB)
B0D4DVQDR4,RENPHO Foot Massager Machine with Heat,30362,4.3,RENPHO,RENPHO Foot Massager Machine,RENPHO Foot,2900,23.69,125.27
B0D4DVQDR4,RENPHO Foot Massager Machine with Heat,30362,4.3,RENPHO,RENPHO Foot Massager Machine,RENPHO Foot,3600,24.68,116.72
B0D4DVQDR4,RENPHO Foot Massager Machine with Heat,30362,4.3,RENPHO,RENPHO Foot Massager Machine,RENPHO Foot,6600,15.59,98.11
B0D4DVQDR4,RENPHO Foot Massager Machine with Heat,30362,4.3,RENPHO,RENPHO Foot Massager Machine,RENPHO Foot,320,14.64,108.72
B0D4DVQDR4,RENPHO Foot Massager Machine with Heat,30362,4.3,RENPHO,RENPHO Foot Massager Machine,RENPHO Foot,480,16.32,101.41
B0D4DVQDR4,RENPHO Foot Massager Machine with Heat,30362,4.3,RENPHO,RENPHO Foot Massager Machine,RENPHO Foot,170,34.64,119.98
B0D4DVQDR4,RENPHO Foot Massager Machine with Heat,30362,4.3,RENPHO,RENPHO Foot Massager Machine,RENPHO Foot,20,9.13,70.84
B0D4DVQDR4,RENPHO Foot Massager Machine with Heat,30362,4.3,RENPHO,RENPHO Foot Massager Machine,RENPHO Foot,10,0.0,0.0
B0D4DVQDR4,RENPHO Foot Massager Machine with Heat,30362,4.3,RENPHO,RENPHO Foot Massager Machine,RENPHO Foot,320,18.58,121.11
B0D4DVQDR4,RENPHO Foot Massager Machine with Heat,30362,4.3,RENPHO,RENPHO Foot Massager Machine,RENPHO Foot,10,36.41,70.84
B0D4DVQDR4,RENPHO Foot Massager Machine with Heat,30362,4.3,RENPHO,RENPHO Foot Massager Machine,RENPHO Foot,10,0.0,0.0
B0D4DVQDR4,RENPHO Foot Massager Machine with Heat,30362,4.3,RENPHO,RENPHO Foot Massager Machine,RENPHO Foot,90,21.26,195.23
B0D4DVQDR4,RENPHO Foot Massager Machine with Heat,30362,4.3,RENPHO,RENPHO Foot Massager Machine,RENPHO Foot,20,13.74,79.6
B0D4DVQDR4,RENPHO Foot Massager Machine with Heat,30362,4.3,RENPHO,RENPHO Foot Massager Machine,RENPHO Foot,10,0.0,0.0
B0D4DVQDR4,RENPHO Foot Massager Machine with Heat,30362,4.3,RENPHO,RENPHO Foot Massager Machine,RENPHO Foot,880,25.39,90.02
B0D4DVQDR4,RENPHO Foot Massager Machine with Heat,30362,4.3,RENPHO,RENPHO Foot Massager Machine,RENPHO Foot,170,13.59,121.42
B0D4DVQDR4,RENPHO Foot Massager Machine with Heat,30362,4.3,RENPHO,RENPHO Foot Massager Machine,RENPHO Foot,30,6.59,36.05
B0D4DVQDR4,RENPHO Foot Massager Machine with Heat,30362,4.3,RENPHO,RENPHO Foot Massager Machine,RENPHO Foot,390,27.95,64.7
B0D4DVQDR4,RENPHO Foot Massager Machine with Heat,30362,4.3,RENPHO,RENPHO Foot Massager Machine,RENPHO Foot,10,13.55,60.71
