ASIN,产品名称,评论数,star,品牌词,关键词1,关键词2,搜索量/月,CPC最小,CPC最大,价格,佣金率
B0CTXXZSML,RENPHO Foot Massager with Heat,1429,4.5,RENPHO,RENPHO Foot Massager Heat,RENPHO Foot,12100,56.07,112.78,,
B0D4DVQDR4,RENPHO Foot Massager Machine with Heat,30362,4.3,RENPHO,RENPHO Foot Massager Machine,RENPHO Foot,1900,70.72,148.72,,
B086QJVHVD,ULTRALOQ Smart Lock U-Bolt Pro with WiFi,128,4.4,ULTRALOQ,ULTRALOQ Smart Lock U-Bolt,ULTRALOQ Smart,1900,48.23,117.39,,
B0CXBRXD4G,PIURIFY Hydrogen Water Bottle Food Grade,124,4.5,PIURIFY,PIURIFY Hydrogen Water Bottle,PIURIFY Hydrogen,1600,58.1,110.66,,
B0B76QSBSY,Lumos Ultra Smart Bike Helmet Customize,1202,4.6,Lumos,Lumos Ultra Smart Bike,Lumos Ultra,260,37.78,115.76,,
B0CRLCHMDF,Open Goaaal Soccer Goal Net Soccer Backst,557,4.3,Open Goaaal,Open Goaaal Soccer Goal Net,Open Goaaal Soccer,170,27.55,192.45,,
B085QNDTMC,Open Goaaal Soccer Goal Net,559,4.3,Open Goaaal,Open Goaaal Soccer Goal Net,Open Goaaal Soccer,170,27.55,192.45,,
B079THZYKF,Open Goaaal Soccer Goal Net,559,4.3,Open Goaaal,Open Goaaal Soccer Goal,Open Goaaal Soccer,170,27.55,192.45,,
B085RHRC26,Open Goaaal Soccer Goal Net,559,4.3,Open Goaaal,Open Goaaal Soccer Goal,Open Goaaal Soccer,170,27.55,192.45,,
B085QNYKK5,Open Goaaal Soccer Goal Net,559,4.3,Open Goaaal,Open Goaaal Soccer Goal,Open Goaaal Soccer,170,27.55,192.45,,
B08FJJB42G,Xtreme Mats Golf Cart Floor Mat Compatible,823,4.8,Xtreme Mats,Xtreme Mats Golf Cart,Xtreme Mats Golf,170,47.23,248.7,,
B0CQ2QHHG9,RENPHO Leg Massager with Heat,7235,4.0,RENPHO,RENPHO Leg Massager Heat,RENPHO Leg,140,0.0,0.0,,
B0CGPS5KGC,RENPHO Thermacool Massage Gun,3971,4.7,RENPHO,RENPHO Thermacool Massage Gun,RENPHO Thermacool,140,30.62,156.41,,
B0CN6962N1,Heavy Duty Fire Pit Tools Set,613,4.8,Heavy,Heavy Duty Fire Pit Tools,Heavy Duty Fire,70,11.64,192.52,,
B0DCTS4KLS,Dog Grass Large Potty Patch,2489,4.0,Dog Grass,Dog Grass Large Potty Patch,Dog Grass Large,50,26.78,105.32,,
B09TJZSFJ9,WYRESTORM 4K Webcam with AI Tracking,106,4.1,WYRESTORM,WYRESTORM 4K Webcam AI,WYRESTORM 4K,30,0.0,0.0,,
B07KPNK69R,Open Goaaal Soccer Rebounder Goal Backst,558,4.3,Open Goaaal,Open Goaaal Soccer Rebounder Goal,Open Goaaal Soccer,20,19.34,59.88,,
B079THJH1W,Open Goaaal Soccer Rebounder Goal Backst,559,4.3,Open Goaaal,Open Goaaal Soccer Rebounder Goal,Open Goaaal Soccer,20,19.34,59.88,,
B085QKQ3HD,GROWNSY UV Sanitizer and Dryer,1435,4.5,GROWNSY,GROWNSY UV Sanitizer Dryer,GROWNSY UV,20,54.78,105.79,,
B0CVQVC17N,FORM 36 Volt Golf Cart Battery Charger,1825,4.6,FORM,FORM 36 Volt Golf,FORM 36,10,0.0,0.0,,
B09GNX8GGT,Xtreme Mats Golf Cart Floor Mat Compatible,823,4.8,Xtreme Mats,Xtreme Mats Golf Cart Floor,Xtreme Mats Golf,10,47.23,490.17,,
B07H23Z7XT,Berkling Tools 7102 Compact Low Vibration,148,4.3,Berkling Tools,Berkling Tools 7102 Compact Low,Berkling Tools 7102,10,0.0,0.0,,
B08LLFRJ1R,GAMMA+ Absolute Hitter Professional Cordless,319,4.1,GAMMA+,GAMMA+ Absolute Hitter Professional,GAMMA+ Absolute,10,14.22,66.97,,
B07ZJND4FS,Custom Coat GM White Urethane,1954,4.6,Custom Coat,Custom Coat GM White Urethane,Custom Coat GM,0,0.0,0.0,,
B0CLNT8Y2G,ALLWEI LiFePO4 Portable Power Station,1730,4.5,ALLWEI,ALLWEI LiFePO4 Portable Power,ALLWEI LiFePO4,0,0.0,0.0,,
B0CQYM4ML1,ALLWEI LiFePO4 Portable Power Station 24,1729,4.5,ALLWEI,ALLWEI LiFePO4 Portable Power,ALLWEI LiFePO4,0,0.0,0.0,,
B01N2LP1I0,DELIE 010 High Compression Girdle,1625,4.2,DELIE,DELIE 010 High Compression,DELIE 010,0,0.0,0.0,,
B099GP11JW,Emraw Quad Ruled Notebook Spiral,1295,4.6,Emraw,Emraw Quad Ruled Notebook,Emraw Quad,0,0.0,0.0,,
B07MCM8NQY,Valera 70in Green Screen Backdrop,710,4.3,Valera,Valera 70in Green Screen,Valera 70in,0,0.0,0.0,,
B086DCVHQD,Open Goal Soccer Rebounder Goal Backst,551,4.3,Open Goaaal,Open Goal Soccer Rebounder Goal,Open Goal Soccer,0,0,0,,
B0CVQVGZX5,FORM 48 Volt Golf Cart Battery Charger,836,4.5,FORM,FORM 48 Volt Golf,FORM 48,0,0.0,0.0,,
B01N45MSAV,DELIE Faja Colombiana 021 High Compression,202,4.1,DELIE,DELIE Faja Colombiana 021,DELIE Faja,0,0.0,0.0,,
B0C42GHHCJ,Aiwa Portable Boombox Crystal Clear Sound,396,4.1,Aiwa,Aiwa Portable Boombox Crystal,Aiwa Portable,0,0.0,0.0,,
B0CVQVLC8L,FORM 48 Volt Golf Cart Battery Charger,516,4.4,FORM,FORM 48 Volt Golf,FORM 48,0,0.0,0.0,,
B097C6HN17,GAMMA+ X-Evo Trimmer Microchipped Magnetic,154,4.0,GAMMA+,GAMMA+ X-Evo Trimmer Microchipped,GAMMA+ X-Evo,0,0.0,0.0,,
B07F1SCZ39,Large Smart Hydroponics Growing System,358,4.0,Large,Smart Hydroponics Large Growing System,Smart Hydroponics Large,0,0.0,0.0,,
B0DBHKHPDX,DC HOUSE 48V 100Ah Lithium Golf Cart Battery,181,4.5,DC HOUSE,DC HOUSE 48V 100Ah Lithium,DC HOUSE 48V,0,0.0,0.0,,
B0BQFWJ9JJ,ALLWEI LiFePO4 Solar Generator 2400W,138,4.4,ALLWEI,ALLWEI LiFePO4 Solar Generator,ALLWEI LiFePO4,0,0.0,0.0,,
B0CZ3T561W,ALLWEI LiFePO4 Solar Generator 1200W,138,4.4,ALLWEI,ALLWEI LiFePO4 Solar Generator,ALLWEI LiFePO4,0,0.0,0.0,,
B0BQFXVGNZ,ALLWEI LiFePO4 Solar Generator 2400W,138,4.4,ALLWEI,ALLWEI LiFePO4 Solar Generator,ALLWEI LiFePO4,0,0.0,0.0,,
B0CRLYVD9J,Lumos Ultra Fly Pro Road Bike Helmet,344,4.5,Lumos,Lumos Ultra Fly Pro,Lumos Ultra,0,0,0,,
B0DBLBW268,Yaber K3 Projector 1600 ANSI Smart Projector,270,4.3,Yaber,Yaber K3 Projector 1600,Yaber K3,0,0.0,0.0,,
B0B31HR98C,ZAFRO 45 Pints Dehumidifier for Home,250,4.2,ZAFRO,ZAFRO 45 Pints Dehumidifier,ZAFRO 45,0,0.0,0.0,,
B0BH9B8NMF,Custom Coat Camouflage Series 3 Ounce,483,4.6,Custom Coat,Custom Coat Camouflage Series 3,Custom Coat Camouflage,0,0.0,0.0,,
B094YKL3GG,Custom Shop Premium Gray Self Etching Primer,192,4.6,Custom Shop,Custom Shop Premium Gray Self,Custom Shop Premium,0,0.0,0.0,,
B07PW96DP4,Custom Shop Black Epoxy Primer Sealer,491,4.0,Custom Shop,Custom Shop Black Epoxy Primer,Custom Shop Black,0,0.0,0.0,,
B089JGWDHK,Custom Shop Barrier Bond Black Rubberize,104,4.4,Custom Shop,Custom Shop Barrier Bond Black,Custom Shop Barrier,0,0.0,0.0,,
B0CWSCD9C9,FORM 48 Volt Golf Cart Battery Charger,262,4.6,FORM,FORM 48 Volt Golf,FORM 48,0,0,0,,
B0D9C1PTFT,FORM 48 Volt Golf Cart Battery Charger,171,4.5,FORM,FORM 48 Volt Golf,FORM 48,0,0.0,0.0,,
B091BHSY2Q,Xtreme Mats Full Coverage Rubber Golf Cart Ma,823,4.8,Xtreme Mats,Xtreme Mats Full Coverage,Xtreme Mats Full,0,0.0,0.0,,
B08FJHPJ23,Xtreme Mats Full Coverage Rubber Golf Cart Ma,823,4.8,Xtreme Mats,Xtreme Mats Full Coverage,Xtreme Mats Full,0,0.0,0.0,,
B08FJGS2W7,Xtreme Mats Golf Cart Floor Mat,822,4.8,Xtreme Mats,Xtreme Mats Golf Cart,Xtreme Mats Golf,0,0,0,,
B09T8PLXZZ,Xtreme Mats Full Coverage Rubber Golf Mat,822,4.8,Xtreme Mats,Xtreme Mats Full Coverage,Xtreme Mats Full,0,0.0,0.0,,
