ASIN,产品名称,评论数,star,品牌词,关键词1(品牌+产品),搜索量/月,CPC_min,CPC_max,price,commission_rate
B0CTXXZSML,RENPHO Foot Massager with Heat,1429,4.5,RENPHO,RENPHO Foot Massager Heat,12100,56.07,112.78,$259.99,7%
B0D4DVQDR4,RENPHO Foot Massager Machine with Heat,30362,4.3,RENPHO,RENPHO Foot Massager Machine,1900,70.72,148.72,$139.98,8%
B086QJVHVD,ULTRALOQ Smart Lock U-Bolt Pro with WiFi,128,4.4,ULTRALOQ,ULTRALOQ Smart Lock U-Bolt,1900,48.23,117.39,$158.99,10%
B0CXBRXD4G,PIURIFY Hydrogen Water Bottle Food Grade,124,4.5,PIURIFY,PIURIFY Hydrogen Water Bottle,1600,58.1,110.66,$139.99,18%
B0B76QSBSY,Lumos Ultra Smart Bike Helmet Customize,1202,4.6,Lumos,Lumos Ultra Smart Bike,260,37.78,115.76,$149.00,7%
B0CRLCHMDF,Open Goaaal Soccer Goal Net Soccer Backst,557,4.3,Open Goaaal,Open Goaaal Soccer Goal Net,170,27.55,192.45,$499.99,18%
B085QNDTMC,Open Goaaal Soccer Goal Net,559,4.3,Open Goaaal,Open Goaaal Soccer Goal Net,170,27.55,192.45,$329.99,18%
B079THZYKF,Open Goaaal Soccer Goal Net,559,4.3,Open Goaaal,Open Goaaal Soccer Goal,170,27.55,192.45,$314.00,18%
B085RHRC26,Open Goaaal Soccer Goal Net,559,4.3,Open Goaaal,Open Goaaal Soccer Goal,170,27.55,192.45,$239.99,18%
B085QNYKK5,Open Goaaal Soccer Goal Net,559,4.3,Open Goaaal,Open Goaaal Soccer Goal,170,27.55,192.45,$279.99,18%
B08FJJB42G,Xtreme Mats Golf Cart Floor Mat Compatible,823,4.8,Xtreme Mats,Xtreme Mats Golf Cart,170,47.23,248.7,$117.00,18%
B0CQ2QHHG9,RENPHO Leg Massager with Heat,7235,4.0,RENPHO,RENPHO Leg Massager Heat,140,0.0,0.0,$109.99,8%
B0CGPS5KGC,RENPHO Thermacool Massage Gun,3971,4.7,RENPHO,RENPHO Thermacool Massage Gun,140,30.62,156.41,$109.99,8%
B0CN6962N1,Heavy Duty Fire Pit Tools Set,613,4.8,Heavy,Heavy Duty Fire Pit Tools,70,11.64,192.52,$109.99,18%
B0DCTS4KLS,Dog Grass Large Potty Patch,2489,4.0,Dog Grass,Dog Grass Large Potty Patch,50,26.78,105.32,$109.99,18%
B09TJZSFJ9,WYRESTORM 4K Webcam with AI Tracking,106,4.1,WYRESTORM,WYRESTORM 4K Webcam AI,30,0.0,0.0,$149.99,14%
B07KPNK69R,Open Goaaal Soccer Rebounder Goal Backst,558,4.3,Open Goaaal,Open Goaaal Soccer Rebounder Goal,20,19.34,59.88,$224.00,18%
B079THJH1W,Open Goaaal Soccer Rebounder Goal Backst,559,4.3,Open Goaaal,Open Goaaal Soccer Rebounder Goal,20,19.34,59.88,$264.00,18%
B085QKQ3HD,GROWNSY UV Sanitizer and Dryer,1435,4.5,GROWNSY,GROWNSY UV Sanitizer Dryer,20,54.78,105.79,$129.99,7%
B0CVQVC17N,FORM 36 Volt Golf Cart Battery Charger,1825,4.6,FORM,FORM 36 Volt Golf,10,0.0,0.0,$259.95,18%
B09GNX8GGT,Xtreme Mats Golf Cart Floor Mat Compatible,823,4.8,Xtreme Mats,Xtreme Mats Golf Cart Floor,10,47.23,490.17,$117.00,18%
B07H23Z7XT,Berkling Tools 7102 Compact Low Vibration,148,4.3,Berkling Tools,Berkling Tools 7102 Compact Low,10,0.0,0.0,$114.73,18%
B08LLFRJ1R,GAMMA+ Absolute Hitter Professional Cordless,319,4.1,GAMMA+,GAMMA+ Absolute Hitter Professional,10,14.22,66.97,$129.95,18%
B07ZJND4FS,Custom Coat GM White Urethane,1954,4.6,Custom Coat,Custom Coat GM White Urethane,0,0.0,0.0,$119.99,14%
B0CLNT8Y2G,ALLWEI LiFePO4 Portable Power Station,1730,4.5,ALLWEI,ALLWEI LiFePO4 Portable Power,0,0.0,0.0,$589.00,4%
B0CQYM4ML1,ALLWEI LiFePO4 Portable Power Station 24,1729,4.5,ALLWEI,ALLWEI LiFePO4 Portable Power,0,0.0,0.0,"$1,299",18%
B01N2LP1I0,DELIE 010 High Compression Girdle,1625,4.2,DELIE,DELIE 010 High Compression,0,0.0,0.0,$113.00,14%
B099GP11JW,Emraw Quad Ruled Notebook Spiral,1295,4.6,Emraw,Emraw Quad Ruled Notebook,0,0.0,0.0,$106.00,18%
B07MCM8NQY,Valera 70in Green Screen Backdrop,710,4.3,Valera,Valera 70in Green Screen,0,0.0,0.0,$139.00,21%
B086DCVHQD,Open Goal Soccer Rebounder Goal Backst,551,4.3,Open Goaaal,Open Goal Soccer Rebounder Goal,0,0,0,$314.00,18%
B0CVQVGZX5,FORM 48 Volt Golf Cart Battery Charger,836,4.5,FORM,FORM 48 Volt Golf,0,0.0,0.0,$299.95,18%
B01N45MSAV,DELIE Faja Colombiana 021 High Compression,202,4.1,DELIE,DELIE Faja Colombiana 021,0,0.0,0.0,$101.00,14%
B0C42GHHCJ,Aiwa Portable Boombox Crystal Clear Sound,396,4.1,Aiwa,Aiwa Portable Boombox Crystal,0,0.0,0.0,$147.98,4%
B0CVQVLC8L,FORM 48 Volt Golf Cart Battery Charger,516,4.4,FORM,FORM 48 Volt Golf,0,0.0,0.0,$299.95,18%
B097C6HN17,GAMMA+ X-Evo Trimmer Microchipped Magnetic,154,4.0,GAMMA+,GAMMA+ X-Evo Trimmer Microchipped,0,0.0,0.0,$109.95,18%
B07F1SCZ39,Large Smart Hydroponics Growing System,358,4.0,Large,Smart Hydroponics Large Growing System,0,0.0,0.0,$109.99,18%
B0DBHKHPDX,DC HOUSE 48V 100Ah Lithium Golf Cart Battery,181,4.5,DC HOUSE,DC HOUSE 48V 100Ah Lithium,0,0.0,0.0,$829.99,7%
B0BQFWJ9JJ,ALLWEI LiFePO4 Solar Generator 2400W,138,4.4,ALLWEI,ALLWEI LiFePO4 Solar Generator,0,0.0,0.0,"$1,648",18%
B0CZ3T561W,ALLWEI LiFePO4 Solar Generator 1200W,138,4.4,ALLWEI,ALLWEI LiFePO4 Solar Generator,0,0.0,0.0,"$1,159",18%
B0BQFXVGNZ,ALLWEI LiFePO4 Solar Generator 2400W,138,4.4,ALLWEI,ALLWEI LiFePO4 Solar Generator,0,0.0,0.0,"$2,488",18%
B0CRLYVD9J,Lumos Ultra Fly Pro Road Bike Helmet,344,4.5,Lumos,Lumos Ultra Fly Pro,0,0,0,$149.00,7%
B0DBLBW268,Yaber K3 Projector 1600 ANSI Smart Projector,270,4.3,Yaber,Yaber K3 Projector 1600,0,0.0,0.0,$469.00,10%
B0B31HR98C,ZAFRO 45 Pints Dehumidifier for Home,250,4.2,ZAFRO,ZAFRO 45 Pints Dehumidifier,0,0.0,0.0,$194.99,18%
B0BH9B8NMF,Custom Coat Camouflage Series 3 Ounce,483,4.6,Custom Coat,Custom Coat Camouflage Series 3,0,0.0,0.0,$109.99,14%
B094YKL3GG,Custom Shop Premium Gray Self Etching Primer,192,4.6,Custom Shop,Custom Shop Premium Gray Self,0,0.0,0.0,$119.99,14%
B07PW96DP4,Custom Shop Black Epoxy Primer Sealer,491,4.0,Custom Shop,Custom Shop Black Epoxy Primer,0,0.0,0.0,$259.99,14%
B089JGWDHK,Custom Shop Barrier Bond Black Rubberize,104,4.4,Custom Shop,Custom Shop Barrier Bond Black,0,0.0,0.0,$114.99,14%
B0CWSCD9C9,FORM 48 Volt Golf Cart Battery Charger,262,4.6,FORM,FORM 48 Volt Golf,0,0,0,$249.95,18%
B0D9C1PTFT,FORM 48 Volt Golf Cart Battery Charger,171,4.5,FORM,FORM 48 Volt Golf,0,0.0,0.0,$249.95,18%
B091BHSY2Q,Xtreme Mats Full Coverage Rubber Golf Cart Ma,823,4.8,Xtreme Mats,Xtreme Mats Full Coverage,0,0.0,0.0,$117.00,18%
B08FJHPJ23,Xtreme Mats Full Coverage Rubber Golf Cart Ma,823,4.8,Xtreme Mats,Xtreme Mats Full Coverage,0,0.0,0.0,$117.00,18%
B08FJGS2W7,Xtreme Mats Golf Cart Floor Mat,822,4.8,Xtreme Mats,Xtreme Mats Golf Cart,0,0,0,$117.00,18%
B09T8PLXZZ,Xtreme Mats Full Coverage Rubber Golf Mat,822,4.8,Xtreme Mats,Xtreme Mats Full Coverage,0,0.0,0.0,$117.00,18%
