ASIN,产品名称,品牌关键词,搜索量,CPC,价格,佣金,评论数,评分
B0C3LZGMKK,Membrane Solutions UV Countertop Gravity Water Fil,Membrane Solutions Membrane,N/A,N/A,103.99,15%,64,4.7
B09JP62T59,"DREO Smart Tower Fan WiFi Voice Control, Works wit",DREO DREO,N/A,N/A,109.99,10%,30624,4.6
B0GWPWPC1B,Coolife Hardside Luggage Upgrade Durable PC Lightw,Coolife Coolife,N/A,N/A,109.99,,28,4.5
B0GWPYL84G,Coolife Hardside Luggage Upgrade Durable PC Lightw,Coolife Coolife,N/A,N/A,109.99,,28,4.5
B0GWQ5W2FN,Coolife Hardside Luggage Upgrade Durable PC Lightw,Coolife Coolife,N/A,N/A,109.99,,28,4.5
B0GD6QZXKN,YESWELDER Intelligent Auto-Adjustment Auto-Darkeni,YESWELDER YESWELDER,N/A,N/A,118.99,15%,192,4.2
B071P6GZN5,Worx WX572L 5.5 Amp BladeRunner Portable Electric ,WORX US_AMZ Worx,N/A,N/A,119.00,1%,1094,4.3
B0D62P85ZR,"Anker SOLIX C200 DC Power Bank Station, 192Wh Port",Anker Anker,N/A,N/A,119.98,7%,883,4.5
B0G6KDY2SX,"SEESII Electric Pruning Shears Cordless: 2.2"" Cutt",SEESII US SEESII,N/A,N/A,119.99,15%,38,4.8
B0GWQ6WYZ8,Coolife Hardside Luggage Upgrade Durable PC Lightw,Coolife Coolife,N/A,N/A,119.99,,30,4.6
B0BNJYSVVS,"Worx Nitro 20V Cordless 1/2"" Drill Driver With Bru",WORX US_AMZ Worx,N/A,N/A,119.99,1%,136,4.7
B0GWQ5JVP6,Coolife Hardside Luggage Upgrade Durable PC Lightw,Coolife Coolife,N/A,N/A,119.99,,28,4.5
B0GWPX3WF6,Coolife Hardside Luggage Upgrade Durable PC Lightw,Coolife Coolife,N/A,N/A,119.99,,28,4.5
B0GWPX5GN2,Coolife Hardside Luggage Upgrade Durable PC Lightw,Coolife Coolife,N/A,N/A,119.99,,28,4.5
B0GWPWJ9XJ,Coolife Hardside Luggage Upgrade Durable PC Lightw,Coolife Coolife,N/A,N/A,119.99,,28,4.5
B0GWQ5V83V,Coolife Hardside Luggage Upgrade Durable PC Lightw,Coolife Coolife,N/A,N/A,119.99,,28,4.5
B0C77JH9PD,"Mom's Choice-GROWNSY Baby Gate for Stairs, 29.5""-4",GROWNSY Mom's,N/A,N/A,129.00,17%,621,4.3
B0DY1C8J81,"Cosori 9-in-1 TurboBlaze Air Fryer 6 Qt, Premium C",COSORI Cosori,N/A,N/A,129.99,0%,19855,4.8
B0GTKC8KDV,"Outdoor Potting Bench with Storage, Outdoor Garden",Petscosset Outdoor,N/A,N/A,129.99,20%,135,4.1
B0GN23ZMPF,Potting Bench Table & Outdoor Storage Cabinet with,Petscosset Potting,N/A,N/A,129.99,20%,190,4.1
B0CL3XB8QS,Coolife Luggage 3 Piece Set Suitcase Spinner ABS+P,Coolife Coolife,N/A,N/A,129.99,,635,4.6
B0GTV71SDK,"Astercook 23 Pcs Pots and Pans Set Non Stick, Cera",Astercook Astercook,N/A,N/A,129.99,10%,7925,4.5
B0GTV3GFTZ,"Astercook 23 Pcs Pots and Pans Set Non Stick, Cera",Astercook Astercook,N/A,N/A,129.99,10%,7925,4.5
B0DQWB2YLK,"eufy Security Baby Monitor E21 Add-On Camera, 4K U",eufy Security eufy,N/A,N/A,129.99,7%,95,4.0
B075MYLPQS,"Worx WG322 20V Power Share 10"" Cordless Chainsaw w",WORX US_AMZ Worx,N/A,N/A,134.99,1%,3868,4.4
B0CL3WSX9B,Coolife Luggage 3 Piece Set Suitcase Spinner ABS+P,Coolife Coolife,N/A,N/A,139.99,,635,4.6
B0GLX2GZ7P,"Soundcore AeroFit 2 Pro by Anker, Open-Ear with Se",soundcore Soundcore,N/A,N/A,149.99,10%,115,4.2
B0GWKX5T7Y,SEESII 2-in-1 Electric Pole Saws: Brushless Mini C,SEESII US SEESII,N/A,N/A,149.99,15%,14960,4.6
B0FL6XGJLX,SEESII 6-in-1 Cordless Pole Saw & Hedge Trimmer Co,SEESII US SEESII,N/A,N/A,149.99,15%,1215,4.3
B085121R1H,WORX 20V 12‘’ Cordless String Trimmer & 360 CFM Le,WORX US_AMZ WORX,N/A,N/A,159.00,1%,23,4.3
B0D1R47YCH,"eufy Security Solar Wall Light Cam S120 (2-Pack), ",eufy Security eufy,N/A,N/A,159.98,6%,1633,4.1
