ASIN,product_name,brand_name,original_price,discount_price,discount,rating,reviews,commission,acc_commission,category,subcategory,availability,country_code,url,link,has_promo,has_acc
B0BZ3FHV1S,"OhO sunshine Bluetooth Audio Sunglasses, Lightweight Open Ear Sport Glasses, 10H Playtime, Water Resistant with Voice Control",OHO SUNSHINE US,$79.99,$79.99,0%,4.2,475,15%,,Electronics,Glasses,IN_STOCK,US,https://www.amazon.com/dp/B0BZ3FHV1S,,No,No
B0H399X2MF,"(2026 Upgrade) AIPER Seagull SE Cordless Robotic Pool Cleaner with 100 Mins Runtime, Powerful 1320GPH Suction,Smart Self-Parking, Pool Vacuum for Above Ground Pools up to 860 Sq.ft, Pearl & ",Aiper US,$179.99,$179.99,0%,5.0,22,10%,,"Patio, Lawn & Garden",Robotic Pool Cleaners,IN_STOCK,US,https://www.amazon.com/dp/B0H399X2MF,,No,No
B0H2VTJB41,"AIPER Scuba V3 with 3 Pcs Ultra-Fine Replacement Filters, 10x Faster Pool Cleaning with AI Patrol, One Week Carefree Cleaning, Smart Waterline Parking, Gray & White",Aiper US,$1429.99,$1429.99,0%,5.0,19,10%,,"Patio, Lawn & Garden",Suction Pool Cleaners,IN_STOCK,US,https://www.amazon.com/dp/B0H2VTJB41,,No,No
B0H2VRY7PK,"(2026 Upgrade) Aiper Cordless Robotic Pool Cleaner, Dual-Cleaning Modes with 1820GPH Suction, 100-Min Runtime, Pool Vacuum for Above Ground Pools up to 860 Sq.ft, Charcoal & Cyan",Aiper US,$159.99,$135.99,15%,4.8,33,10%,,"Patio, Lawn & Garden",Suction Pool Cleaners,IN_STOCK,US,https://www.amazon.com/dp/B0H2VRY7PK,,No,No
B0H2JFXK3S,"AIPER Scuba X1 Cordless Pool Robot with Powerful Suction, Double Filtration and Wireless Charging Dock, Floor/Wall/Waterline Cleaning, 185 Mins Runtime for Above & In-Ground Pools, Dark",Aiper US,$1499.99,$999.99,33%,4.7,40,10%,,"Patio, Lawn & Garden",Robotic Pool Cleaners,IN_STOCK,US,https://www.amazon.com/dp/B0H2JFXK3S,,No,No
B0H1MYMB6R,"(2026 Upgrade) Aiper Cordless Robotic Pool Cleaner, Dual-Cleaning Modes with 1820GPH Suction, 100-Min Runtime, Pool Vacuum for Above Ground Pools up to 860 Sq.ft, Peal & Cyan",Aiper US,$159.99,$135.99,15%,4.8,33,10%,,"Patio, Lawn & Garden",Suction Pool Cleaners,IN_STOCK,US,https://www.amazon.com/dp/B0H1MYMB6R,,No,No
B0GZM5RHFD,"AIPER HydroComm Smart Pool Monitor, 24/7 Automatic Water Testing for Pools, Hot Tubs & Spas, 5-in-1 Accurate Digital Tester, App Control, Customized Optimization Tips, Blue",Aiper US,$499.99,$379.99,24%,4.7,23,10%,,"Patio, Lawn & Garden",Water Test Kits,IN_STOCK,US,https://www.amazon.com/dp/B0GZM5RHFD,,No,No
B0GZMGKBVW,"AIPER HydroComm Smart Pool Monitor, 24/7 Automatic Water Testing for Pools, Hot Tubs & Spas, 5-in-1 Accurate Digital Tester, App Control, Customized Optimization Tips, Ivory",Aiper US,$499.99,$379.99,24%,4.7,23,10%,,"Patio, Lawn & Garden",Water Test Kits,IN_STOCK,US,https://www.amazon.com/dp/B0GZMGKBVW,,No,No
B0GWQRGDJ5,"Aiper IrriSense 2 Smart Irrigation System, 4-in-1 Multi-Zone Watering Device, App Control, Smart Scheduling, Garden Sprinkler with Rain Sensor, for Lawns up to 4,800 sq.ft.-Blue",Aiper US,$599.99,$429.99,28%,4.2,157,10%,,"Patio, Lawn & Garden",Irrigation System Controllers,IN_STOCK,US,https://www.amazon.com/dp/B0GWQRGDJ5,,No,No
B0GWGYV62Z,"AIPER Scuba SE Cordless Pool Cleaner with 90-Min Runtime, 1665 GPH Strong Suction, Lightweight, Pool Vacuum for Above Ground Flat Pools up to 860 Sq.ft, Starry Gray & Teal",Aiper US,$179.99,$125.98,30%,4.0,383,10%,,"Patio, Lawn & Garden",Robotic Pool Cleaners,IN_STOCK,US,https://www.amazon.com/dp/B0GWGYV62Z,,No,No
B0GGQZSV9K,"Aiper Scuba S3 Robotic Pool Cleaner, Cordless Lightweight with Strong Suction, Waterline Scrubbing, Smart Sensor Navigation, App Control & Waterline Parking, 240 Min Runtime for In-Ground Po",Aiper US,$999.99,$699.98,30%,4.4,45,10%,,"Patio, Lawn & Garden",Robotic Pool Cleaners,IN_STOCK,US,https://www.amazon.com/dp/B0GGQZSV9K,,No,No
B0GY8DDHTN,"AIPER Scuba V3 AI Vision Cordless Robotic Pool Cleaner, Include Wireless Charging Dock, Smart Waterline Parking & Featherlight Design, Micromesh Multi-Layer Filtration, Blue",Aiper US,$1399.99,$899.99,35%,4.4,171,10%,,"Patio, Lawn & Garden",Robotic Pool Cleaners,IN_STOCK,US,https://www.amazon.com/dp/B0GY8DDHTN,,No,No
B0FBRDFTBD,"AIPER 2025 Scuba SE Cordless Pool Cleaner with 90-Min Runtime, 1665 GPH Strong Suction, Lightweight, Pool Vacuum for Above Ground Flat Pools up to 860 Sq.ft, Milky White & Teal",Aiper US,$179.99,$125.97,30%,4.0,383,10%,,"Patio, Lawn & Garden",Robotic Pool Cleaners,IN_STOCK,US,https://www.amazon.com/dp/B0FBRDFTBD,,No,No
B09DK23PM1,"Astercook Knife Set, 15 Pieces Kitchen knives Set with Built-in Sharpener, High Carbon German Stainless Steel Chef Knife Block Sets, Sharp & Rust Resistant Dishwasher Safe, Black",Astercook,$44.99,$44.99,0%,4.6,6183,10%,10.00,Home & Kitchen,Knife Block Sets,IN_STOCK,US,https://www.amazon.com/dp/B09DK23PM1,,No,Yes
B0GXB816G3,"DREO Smart Fan for Bedroom, standing 150° +100° Omni-Directional Oscillating Fans, 120ft CirculAir Quiet Fan with DC Motor, 12 Speeds, 6 Modes, 20dB,Remote Control, 8H Timer",DREO,$159.99,$159.99,0%,4.8,29,10%,,Home & Kitchen,Pedestal Fans,IN_STOCK,US,https://www.amazon.com/dp/B0GXB816G3,,No,No
B0FGQ1Y5PW,"DREO Tower Fan for Bedroom, 4 Speeds, 3 Modes Standing Fans for Room with 90° wide Oscillating, 28dB Quiet for Sleep, 26ft/s Velocity, 33ft Coverage, 8H Timer, Remote, Living Room, Office, H",DREO,$74.99,$74.99,0%,4.6,1465,10%,,Home & Kitchen,Tower Fans,IN_STOCK,US,https://www.amazon.com/dp/B0FGQ1Y5PW,,No,No
B0FWQ7Y7JB,"ANYCUBIC High Speed 3D Printer Filament 1.75mm Bundle, Rapid PLA Filament, Dimensional Accuracy +/- 0.02mm, 6KG Pearl Black+Bright White+Bright Red+Dazzling Blue+Vibrant Yellow+Vibrant Orang",ANYCUBIC,$81.99,$81.99,0%,4.5,1040,20%,,Industrial & Scientific,3D Printing Filament,IN_STOCK,US,https://www.amazon.com/dp/B0FWQ7Y7JB,,No,No
B0C8NTLYKB,"ANYCUBIC High Clear 3D Printer Resin, Resist Yellowing and Highly Transparent, Tough and Resilient, Low Odor 3D Printing Resin, Widely Compatible for All LCD/DLP Resin 3D Printers (High Clea",ANYCUBIC,$30.99,$30.99,0%,4.7,10336,20%,,Industrial & Scientific,3D Printing Liquid,IN_STOCK,US,https://www.amazon.com/dp/B0C8NTLYKB,,No,No
B0D25W6VXV,"VEVOR Professional Dancing Pole, Spinning Static Dancing Pole Kit, Portable Removable Pole, 45mm Heavy-Duty Stainless Steel Pole, Height Adjustable Fitness Pole, for Exercise Home Club Gym, ",VEVOR,$96.63,$96.63,0%,4.3,452,10%,,,,IN_STOCK,US,https://www.amazon.com/dp/B0D25W6VXV,,No,No
B0DMZVKM5B,"VEVOR Freestanding Saddle Stand, 30 x 30 x 68.5 in, 3 Tiers Saddle Rack, Heavy Duty Saddle Blanket Holder with Removable & Rotating Tiers, English & Western Saddle Rack for Tack Room Organiz",VEVOR,$95.90,$95.90,0%,4.4,211,10%,,Pet Supplies,Tack Storage,IN_STOCK,US,https://www.amazon.com/dp/B0DMZVKM5B,,No,No
B0FYFZXHLJ,"VEVOR Dog Ramp for Cars, 63"" L x 17"" W, Folding Pet Ramps for Medium & Large Dogs up to 250lbs, Pet Stair Ramp with Non-Slip Felt Rug Surface, Portable Outdoor Dog Car Ramps for SUV & Truck",VEVOR,$66.90,$66.90,0%,4.3,56,10%,,Pet Supplies,Vehicle Ramps,IN_STOCK,US,https://www.amazon.com/dp/B0FYFZXHLJ,,No,No
B0DNJN5NKY,"VEVOR Snow Roof Rake, 21ft Reach Aluminium Handle, 25"" Plastic Blade Snow Removal Tool, Superior Roof Shovel with Anti-Slip Handle Grip, Easy to Setup & Use for House Roof, Wet Leaves, Car S",VEVOR,$59.90,$59.90,0%,4.4,92,10%,,"Patio, Lawn & Garden",Snow Rakes,IN_STOCK,US,https://www.amazon.com/dp/B0DNJN5NKY,,No,No
B083KG45Y6,VEVOR 15L Ultrasonic Cleaner with Digital Timer&Heater Professional Ultrasonic Cleaner 40kHz Advanced Ultrasonic Cleaner 110V for Wrench Screwdriver Repairing Tools Industrial Parts Mental C,VEVOR,$135.90,$135.90,0%,4.3,3304,10%,,Industrial & Scientific,Ultrasonic Cleaners,IN_STOCK,US,https://www.amazon.com/dp/B083KG45Y6,,No,No
B0DWWZB6P7,"VEVOR Vacuum Sealer Machine, 80Kpa 120W Powerful Compact Food Sealer, 7-in-1 Multi-Functional Food Vacuum Sealer, Automatic Air Sealing System with Built-in Cutter with 10 Vacuum Bags & 1 Ba",VEVOR,$42.90,$42.90,0%,4.1,148,10%,,Home & Kitchen,Vacuum Sealers,IN_STOCK,US,https://www.amazon.com/dp/B0DWWZB6P7,,No,No
B0DFM1MTMF,"VEVOR Demolition Jack Hammer, 1350 BPM Concrete Breaker 6pcs Chisels Bit Chipping with Case, 2200W Electric Jackhammer Heavy Duty, Black",VEVOR,$219.99,$219.99,0%,4.4,279,10%,,Tools & Home Improvement,Rotary Hammers,IN_STOCK,US,https://www.amazon.com/dp/B0DFM1MTMF,,No,No
B0D5M4W8NP,"VEVOR Wall Mount Fan, 2 PCS 18 inch Oscillating, 3-speed High Velocity Max. 4000 CFM Industrial Wall Fan for Indoor, Commercial, Residential, Warehouse, Greenhouse, Workshop, Basement, Garag",VEVOR,$108.99,$88.04,19%,4.2,849,10%,,Home & Kitchen,Wall-Mounted Fans,IN_STOCK,US,https://www.amazon.com/dp/B0D5M4W8NP,,No,No
