brand_name,product_name,discount_price,reviews,rating,commission,asin,link
Membrane Solutions,Membrane Solutions UV Countertop Gravity Water Filtration System Replacement Filter Elements - 6 Packs (U3P),$103.99,64,4.7,15%,,
DREO,"DREO Smart Tower Fan WiFi Voice Control, Works with Alexa/Google,Floor Standing Bladeless Oscillating Fan with Remote, 6 Speeds, 4 Modes, 12H Timer, for Indoor Bedroom Home Office",$109.99,30624,4.6,10%,,
Coolife,"Coolife Hardside Luggage Upgrade Durable PC Lightweight Travel Suitcases with Dual Spinner Wheels & TSA Lock (Light Purple, Checked-Medium 24-Inch)",$109.99,28,4.5,,,
Coolife,"Coolife Hardside Luggage Upgrade Durable PC Lightweight Travel Suitcases with Dual Spinner Wheels & TSA Lock (Black, Checked-Medium 24-Inch)",$109.99,28,4.5,,,
Coolife,"Coolife Hardside Luggage Upgrade Durable PC Lightweight Travel Suitcases with Dual Spinner Wheels & TSA Lock (Light Green, Checked-Medium 24-Inch)",$109.99,28,4.5,,,
YESWELDER,"YESWELDER Intelligent Auto-Adjustment Auto-Darkening Welding Helmet, 180° Panoramic View, True Color 1/1/1/1, Internal Digital Display, Wide Shade 3/4-8/9-14, for MIG/TIG/Stick/Tack/Grind/Cu",$118.99,192,4.2,15%,,
WORX US_AMZ,Worx WX572L 5.5 Amp BladeRunner Portable Electric Table Top Saw,$119.00,1094,4.3,1%,,
Anker,"Anker SOLIX C200 DC Power Bank Station, 192Wh Portable Power Station, LiFePO4 Battery, 200W Solar Generator, for Outdoor Camping, Traveling, and Emergencies (No Wall Charger Included)",$119.98,883,4.5,7%,,
SEESII US,"SEESII Electric Pruning Shears Cordless: 2.2"" Cutting Diameter Power Cordless Pruner, 2*4000mAh Batteries, Brushless Motor, Extra SK5 Blade, 4 Modes Adjustable Garden Shears for Tree Flower ",$119.99,38,4.8,15%,,
Coolife,"Coolife Hardside Luggage Upgrade Durable PC Lightweight Travel Suitcases with Dual Spinner Wheels & TSA Lock (Navy, Checked-Large 28-Inch) Navy Checked-Large 28-Inch",$119.99,30,4.6,,,
